TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended,
"9,81999978050601",1,"103050,238327953","23181,84997651","2787,62448053064","2992,11669991751","6,12736561352358","0,998233305804977",0,"-0,159112030487107","3,89901360347256","3,90219089205728","103032,204770244","7,92822570800781","4,03710733948539","-1,97E-12","0,188899698942485","94,8203996956799","563,819999780506"
"10,039999775589",1,"103094,58443295","23704,1904515506","2789,66026007199","2994,15851381055","6,12346419149981","0,99886838764955",0,"-0,157875709877031","3,92312371792858","3,92624959141599","103076,413717946","7,98051452636719","4,14327760312198","-2,02E-12","0,194694343407546","96,9754194411144","564,039999775589"
"10,259999770671",1,"103139,266817465","24226,8629973208","2791,69658727981","2996,20090586974","6,11956247145281","0,999504469729195",0,"-0,156689778718764","3,94717673309423","3,95019671512129","103120,95842277","8,03281860351563","4,25016508735375","-2,08E-12","0,200563820133945","99,1318128378987","564,259999770671"
"10,479999765754",1,"103184,286758162","24749,8672268983","2793,7334624666","2998,24387639996","6,11566075140581","1,00014127670173",0,"-0,155515251380399","3,97118683384881","3,97421170652196","103165,840161495","8,08514709472656","4,35777153248055","-2,13E-12","0,206508796131504","101,28958132671","564,479999765754"
"10,699999760836",1,"103229,645533499","25273,2027388347","2795,77088354344","3000,28742325628","6,11175962740526","1,00077868100083",0,"-0,154394378487736","3,99512939676934","3,99803372808751","103211,060211583","8,13749084472656","4,46609867606057","-2,18E-12","0,212529354664773","103,448727038012","564,699999760836"
"10,919999755919",1,"103275,344423011","25796,8477367337","2797,80885167191","3002,33154760972","6,10785790735827","1,0014170917087",0,"-0,15331908475237","4,01901553020141","4,0218949024532","103256,619852503","8,18982543945313","4,57514824671441","-2,23E-12","0,218626061397397","105,609251383148","564,919999755919"
"11,139999751002",1,"103321,384706405","26320,8446390789","2799,84736591306","3004,37624847561","6,10395648533449","1,00205625564068",0,"-0,152267783374073","4,04284133327756","4,0456398707107","103302,520363679","8,2421875","4,6849219694087","-2,29E-12","0,224799220373861","107,771156174629","565,139999751002"
"11,359999746084",1,"103367,767664802","26845,1821117592","2801,88642600241","3006,4215255557","6,10005506331072","1,00269623948526",0,"-0,151265948818657","4,06661955279837","4,06934760900536","103348,763025545","8,29458618164063","4,795421563935","-2,34E-12","0,231049193029183","109,934443454477","565,359999746084"
"11,579999741167",1,"103414,494580198","27369,817471067","2803,92603206027","3008,46737896158","6,09615334326372","1,00333699849341",0,"-0,150292712894654","4,0903387471009","4,09299953355398","103395,349120057","8,34697265625","4,90664874302388","-2,39E-12","0,23737633988183","112,099114966573","565,579999741167"
"11,799999736249",1,"103461,566735324","27894,7821357106","2805,96618273989","3010,51380729803","6,09225192123995","1,00397843420467",0,"-0,149354162361937","4,11399830638459","4,11664901955229","103442,279929315","8,39938354492188","5,01860521543701","-2,45E-12","0,243781150996971","114,265172482404","565,799999736249"
